Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4889,11,170.0,225.49122672530152,4.356588000064221,1871.025766999992,76737.437308243,40.771486634419034,0.09173376006925944,170,230,270,300,420,590,880,1000,1500,1900,1900
GET,/post-detail,16098,32,170.0,219.70078016753536,3.9116680000006454,1738.7830610000492,86531.48701702074,134.2481881449944,0.26686184747420927,170,220,260,290,390,550,860,1100,1500,1700,1700
,Aggregated,20987,43,170.0,221.04968631043027,3.9116680000006454,1871.025766999992,84249.92657359318,175.01967477941344,0.3585956075434687,170,220,260,290,400,560,860,1100,1500,1700,1900
