Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,665,4,6600.0,6244.430981604513,5.824022000069817,7419.998974000009,76443.14736842105,5.3447233825677065,0.03214871207559523,6600,6700,6800,6800,7000,7100,7200,7300,7400,7400,7400
GET,/post-detail,2235,27,6500.0,6058.681069672488,44.00743499991222,7346.000860000004,85653.19910514541,17.963092872238835,0.2170038065102678,6500,6600,6700,6700,6800,6900,7000,7100,7300,7300,7300
,Aggregated,2900,31,6500.0,6101.275446029308,5.824022000069817,7419.998974000009,83541.23896551724,23.307816254806543,0.24915251858586304,6500,6600,6700,6700,6900,6900,7100,7200,7400,7400,7400
