Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,681,3,6300.0,5978.796227914824,90.65138699997988,7009.58774000037,76566.74889867842,5.472062387374106,0.024106001706493862,6300,6400,6500,6500,6600,6600,6700,6700,7000,7000,7000
GET,/post-detail,2318,21,6200.0,5847.8134653403595,7.261853000272822,6941.08082799994,85913.16307161345,18.62590398521759,0.16874201194545702,6200,6300,6300,6400,6400,6500,6600,6700,6900,6900,6900
,Aggregated,2999,24,6200.0,5877.556466778585,7.261853000272822,7009.58774000037,83790.81960653552,24.097966372591696,0.1928480136519509,6200,6300,6400,6400,6500,6600,6600,6700,6900,7000,7000
