Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2636,0,73,88.36146806752821,59.91075700001147,1056.9593010000062,76905.0,22.091934764665293,0.0,73,82,90,95,110,140,210,370,980,1100,1100
GET,/post-detail,8528,0,73,88.73212147080149,57.595803000026535,1178.6335560000225,86698.37382739212,71.47193462559395,0.0,73,81,88,94,120,140,230,380,940,1200,1200
,Aggregated,11164,0,73,88.64460423943011,57.595803000026535,1178.6335560000225,84386.00071658904,93.56386939025923,0.0,73,81,88,94,120,140,220,370,940,1100,1200
