Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5201,1408,320.0,2106.553500757344,2.9108990001986967,11087.256794000496,56724.963468563736,40.356945317669734,10.925318017165734,320,1500,3900,5300,6900,8600,10000,11000,11000,11000,11000
GET,/post-detail,18000,4795,340.0,2128.219283355942,2.9695049997826573,10873.49480299963,64231.60261111111,139.67025874217558,37.206605037151775,340,1600,4000,5200,6900,8500,10000,10000,11000,11000,11000
,Aggregated,23201,6203,340.0,2123.362435147018,2.9108990001986967,11087.256794000496,62548.82901599069,180.02720405984533,48.13192305431751,340,1600,4000,5300,6900,8500,10000,11000,11000,11000,11000
