Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6214,1953,290.0,1572.370697107176,2.8839800000923788,11674.196635000044,53491.85484390087,48.221399563750296,15.155518723528216,290,1100,2400,3100,5600,6700,9000,9700,11000,12000,12000
GET,/post-detail,20544,6550,280.0,1541.8144052039502,2.791436000052272,11722.361639999917,59824.18443341122,159.42395118083135,50.82880063446483,280,1100,2100,2900,5500,6800,8800,9600,11000,12000,12000
,Aggregated,26758,8503,280.0,1548.9104810648687,2.791436000052272,11722.361639999917,58353.62997981912,207.64535074458166,65.98431935799304,280,1100,2200,3000,5600,6800,8900,9700,11000,12000,12000
